index,learning_rate,batch_size,num_unit,auc,epochs,activation,dropout_rate,initilizer,num_layers,momentum,optimizer
43950,0.01,1000,256,0.5236887913418603,1,selu,0.5,lecun_uniform,5,0,SGD
14912,0.001,50,512,0.5236887913418602,20,sigmoid,0,he_uniform,5,0,SGD
30053,0.01,500,100,0.5236887913418602,1,softsign,0.5,lecun_uniform,2,0,SGD
3515,0.001,500,10,0.5236698705820025,20,relu,0.7,lecun_uniform,2,0,SGD
17574,0.001,1000,5,0.5236698705820025,1,sigmoid,0.7,normal,2,0,SGD
8530,0.001,200,256,0.5236509498221449,20,softsign,0.7,normal,5,0,SGD
13122,0.001,1000,256,0.5236509498221449,50,tanh,0.7,normal,2,0,SGD
34969,0.01,20,100,0.5236509498221449,1,tanh,0.5,normal,5,0,SGD
39221,0.01,500,10,0.5236509498221449,1,sigmoid,0.5,lecun_uniform,2,0,SGD
10032,0.001,1000,512,0.5236509498221448,100,tanh,0,uniform,5,0,SGD
234,0.001,1000,512,0.5236131083024295,50,relu,0,lecun_uniform,5,0,SGD
4088,0.001,50,10,0.5236131083024295,20,relu,0.7,uniform,2,0,SGD
7482,0.001,1000,2048,0.5236131083024295,50,softsign,0.5,normal,5,0,SGD
23704,0.01,200,10,0.5236131083024294,50,relu,0,uniform,5,0,SGD
26784,0.01,1000,2048,0.5236131083024294,100,relu,0.7,lecun_uniform,5,0,SGD
23712,0.01,1000,10,0.5235941875425718,100,relu,0,uniform,5,0,SGD
6506,0.001,50,256,0.5235941875425717,1,softsign,0.1,uniform,5,0,SGD
41854,0.01,200,10,0.5235941875425717,100,selu,0,normal,5,0,SGD
5476,0.001,200,5,0.523575266782714,1,softsign,0,he_uniform,2,0,SGD
9115,0.001,20,256,0.523575266782714,100,softsign,0.7,he_uniform,5,0,SGD
30374,0.01,50,100,0.523575266782714,50,softsign,0.5,normal,5,0,SGD
45878,0.01,50,10,0.523575266782714,50,selu,0.7,he_uniform,5,0,SGD
45984,0.01,1000,256,0.523575266782714,100,selu,0.7,he_uniform,5,0,SGD
13571,0.001,500,5,0.5235752667827139,20,tanh,0.7,he_uniform,5,0,SGD
26790,0.01,1000,5,0.5235752667827139,1,relu,0.7,normal,2,0,SGD
17505,0.001,100,512,0.5235563460228563,20,sigmoid,0.7,lecun_uniform,5,0,SGD
28026,0.01,1000,10,0.5235563460228563,50,softsign,0,normal,5,0,SGD
28240,0.01,200,5,0.5235563460228563,50,softsign,0,uniform,2,0,SGD
36910,0.01,200,5,0.5235563460228563,100,sigmoid,0,lecun_uniform,5,0,SGD
3660,0.001,1000,512,0.5235374252629985,20,relu,0.7,lecun_uniform,2,0,SGD
7380,0.001,1000,256,0.5235374252629985,20,softsign,0.5,normal,5,0,SGD
30531,0.01,100,5,0.5235374252629985,1,softsign,0.5,uniform,2,0,SGD
14127,0.001,100,5,0.5235185045031409,50,sigmoid,0,normal,2,0,SGD
26585,0.01,500,10,0.5235185045031409,50,relu,0.7,lecun_uniform,5,0,SGD
39506,0.01,50,10,0.5235185045031409,1,sigmoid,0.5,normal,2,0,SGD
2957,0.001,500,10,0.5235185045031407,1,relu,0.5,uniform,5,0,SGD
43332,0.01,1000,100,0.5235185045031407,20,selu,0.1,uniform,5,0,SGD
11258,0.001,50,5,0.5234995837432832,1,tanh,0.1,he_uniform,5,0,SGD
26144,0.01,50,512,0.5234995837432832,20,relu,0.5,uniform,5,0,SGD
28826,0.01,50,5,0.5234995837432832,1,softsign,0.1,lecun_uniform,5,0,SGD
30486,0.01,1000,2048,0.5234995837432832,1,softsign,0.5,normal,2,0,SGD
94,0.001,200,10,0.5234995837432831,100,relu,0,lecun_uniform,5,0,SGD
7814,0.001,50,5,0.5234995837432831,50,softsign,0.5,he_uniform,5,0,SGD
15734,0.001,50,256,0.5234995837432831,50,sigmoid,0.1,uniform,5,0,SGD
19009,0.001,20,5,0.5234995837432831,1,selu,0,uniform,2,0,SGD
37949,0.01,500,512,0.5234995837432831,1,sigmoid,0,he_uniform,5,0,SGD
13228,0.001,200,2048,0.5234617422235678,1,tanh,0.7,normal,5,0,SGD
1874,0.001,50,256,0.5234617422235677,1,relu,0.1,uniform,2,0,SGD
2450,0.001,50,256,0.5234617422235677,1,relu,0.5,lecun_uniform,2,0,SGD
2592,0.001,1000,2048,0.5234617422235677,100,relu,0.5,lecun_uniform,5,0,SGD
6738,0.001,1000,100,0.5234617422235677,50,softsign,0.1,he_uniform,2,0,SGD
20163,0.001,100,5,0.5234617422235677,1,selu,0.1,uniform,2,0,SGD
26716,0.01,200,512,0.5234617422235677,1,relu,0.7,lecun_uniform,5,0,SGD
30827,0.01,500,5,0.5234617422235677,20,softsign,0.5,he_uniform,2,0,SGD
39371,0.01,500,512,0.5234617422235677,20,sigmoid,0.5,lecun_uniform,2,0,SGD
39574,0.01,200,100,0.5234617422235677,100,sigmoid,0.5,normal,2,0,SGD
3935,0.001,500,256,0.5234239007038524,100,relu,0.7,normal,5,0,SGD
37778,0.01,50,10,0.5234239007038524,1,sigmoid,0,he_uniform,2,0,SGD
1505,0.001,500,10,0.5234239007038523,50,relu,0.1,normal,2,0,SGD
3156,0.001,1000,2048,0.5234239007038523,20,relu,0.5,uniform,5,0,SGD
19962,0.001,1000,10,0.5234239007038523,50,selu,0.1,normal,5,0,SGD
22991,0.001,500,512,0.5234239007038523,100,selu,0.7,he_uniform,5,0,SGD
31145,0.01,500,5,0.5234239007038523,50,softsign,0.7,lecun_uniform,5,0,SGD
40828,0.01,200,512,0.5234239007038523,1,sigmoid,0.7,normal,5,0,SGD
47690,0.1,50,256,0.5234239007038523,1,relu,0.1,normal,5,0,SGD
27722,0.01,50,10,0.5234239007038521,1,softsign,0,lecun_uniform,5,0,SGD
16656,0.001,1000,512,0.5234049799439946,100,sigmoid,0.5,normal,5,0,SGD
15663,0.001,100,100,0.5234049799439945,50,sigmoid,0.1,uniform,2,0,SGD
18139,0.001,20,2048,0.5233860591841368,100,sigmoid,0.7,uniform,5,0,SGD
20788,0.001,200,10,0.5233860591841368,1,selu,0.5,lecun_uniform,2,0,SGD
37540,0.01,200,100,0.5233860591841368,1,sigmoid,0,uniform,2,0,SGD
