index,batch_size,activation,learning_rate,num_layers,units,auc,optimizer,epochs
641,50,sigmoid,0.01,2,2048,0.7469159161431923,SGD,10
15,100,relu,0.01,5,512,0.7410126390675851,SGD,10
768,100,selu,0.001,2,2048,0.7407855899492923,Adam,10
568,200,relu,0.1,9,2048,0.7386664648452282,SGD,10
454,200,selu,0.001,2,1024,0.7320063573753123,SGD,10
184,200,selu,0.001,2,512,0.7233028078407628,SGD,10
751,200,selu,0.2,2,2048,0.7228108680844622,SGD,10
13,200,relu,0.01,2,512,0.7214864148944222,SGD,10
457,200,selu,0.001,5,1024,0.7203133277832438,SGD,10
556,200,relu,0.01,5,2048,0.7144478922273518,SGD,10
187,200,selu,0.001,5,512,0.7138424279119049,SGD,10
189,100,selu,0.001,9,512,0.7121395595247105,SGD,10
750,100,selu,0.2,2,2048,0.7060849163702414,SGD,10
460,200,selu,0.001,9,1024,0.7024142889578446,SGD,10
2,50,relu,0.001,2,512,0.7010519942480891,SGD,10
272,50,relu,0.001,2,1024,0.7003708468932112,SGD,10
111,100,sigmoid,0.1,2,512,0.698857186104594,SGD,10
740,50,selu,0.1,2,2048,0.6965488534019526,SGD,10
371,50,sigmoid,0.01,2,1024,0.6959812306062212,SGD,10
220,200,selu,0.5,2,512,0.6916483765988043,SGD,10
273,100,relu,0.001,2,1024,0.6880345114659805,SGD,10
190,200,selu,0.001,9,512,0.6873912056308181,SGD,10
543,100,relu,0.001,2,2048,0.6859532278816316,SGD,10
286,200,relu,0.01,5,1024,0.681601453114357,SGD,10
745,200,selu,0.1,5,2048,0.673749337773405,SGD,10
372,100,sigmoid,0.01,2,1024,0.6694921668054189,SGD,10
16,200,relu,0.01,5,512,0.6636645727692424,SGD,10
642,100,sigmoid,0.01,2,2048,0.6620373874214788,SGD,10
256,200,selu,0.2,2,512,0.6570612275788996,Adam,10
545,50,relu,0.001,5,2048,0.6485279648830697,SGD,10
265,200,selu,0.5,2,512,0.6452168319079695,Adam,10
525,100,selu,0.2,2,1024,0.6432490728827669,Adam,10
744,100,selu,0.1,5,2048,0.6413002346174222,SGD,10
544,200,relu,0.001,2,2048,0.6378944978430334,SGD,10
274,200,relu,0.001,2,1024,0.6363051540149852,SGD,10
557,50,relu,0.01,9,2048,0.6310830242942557,SGD,10
516,100,selu,0.1,2,1024,0.6278854158783016,Adam,10
3,100,relu,0.001,2,512,0.6269204571255582,SGD,10
259,200,selu,0.2,5,512,0.6184628774691591,Adam,10
101,50,sigmoid,0.01,2,512,0.6174222356769848,SGD,10
484,200,selu,0.2,5,1024,0.6124460758344055,SGD,10
537,100,selu,0.5,5,1024,0.6086808446227201,Adam,10
287,50,relu,0.01,9,1024,0.6069779762355256,SGD,10
246,100,selu,0.1,2,512,0.6055589192461969,Adam,10
643,200,sigmoid,0.01,2,2048,0.6033830318625597,SGD,10
759,100,selu,0.5,2,2048,0.6027775675471128,SGD,10
257,50,selu,0.2,5,512,0.600620600923333,Adam,10
528,100,selu,0.2,5,1024,0.599958374328313,Adam,10
266,50,selu,0.5,5,512,0.5994096722924394,Adam,10
5,50,relu,0.001,5,512,0.5986528418981307,SGD,10
475,200,selu,0.1,5,1024,0.5979906153031106,SGD,10
144,100,sigmoid,0.001,9,512,0.5972905471883752,Adam,10
527,50,selu,0.2,5,1024,0.5929766139408159,Adam,10
128,50,sigmoid,0.5,2,512,0.5928063271020965,SGD,10
547,200,relu,0.001,5,2048,0.5915386361916295,SGD,10
276,100,relu,0.001,5,1024,0.5913872701127677,SGD,10
632,50,sigmoid,0.001,2,2048,0.5891924619692728,SGD,10
108,100,sigmoid,0.01,9,512,0.5868084462272005,SGD,10
659,50,sigmoid,0.2,2,2048,0.5847460834027094,SGD,10
558,100,relu,0.01,9,2048,0.5841973813668357,SGD,10
275,50,relu,0.001,5,1024,0.5831756603345191,SGD,10
370,200,sigmoid,0.001,9,1024,0.5830999772950882,SGD,10
764,50,selu,0.5,9,2048,0.5819268901839099,SGD,10
17,50,relu,0.01,9,512,0.5813214258684629,SGD,10
106,200,sigmoid,0.01,5,512,0.5799023688791342,SGD,10
268,200,selu,0.5,5,512,0.5778778475743587,Adam,10
18,100,relu,0.01,9,512,0.5778400060546431,SGD,10
254,50,selu,0.2,2,512,0.5778400060546431,Adam,10
749,50,selu,0.2,2,2048,0.5774237493377734,SGD,10
533,50,selu,0.5,2,1024,0.577385907818058,Adam,10
534,100,selu,0.5,2,1024,0.5760614546280178,Adam,10
132,100,sigmoid,0.5,5,512,0.5738666464845229,SGD,10
788,50,selu,0.1,5,2048,0.5737531219253765,Adam,10
515,50,selu,0.1,2,1024,0.5706501173087112,Adam,10
524,50,selu,0.2,2,1024,0.5703473851509877,Adam,10
113,50,sigmoid,0.1,5,512,0.5692499810792402,SGD,10
103,200,sigmoid,0.01,2,512,0.568455309165216,SGD,10
4,200,relu,0.001,2,512,0.5683796261257852,SGD,10
511,200,selu,0.01,5,1024,0.5668848860970257,Adam,10
546,100,relu,0.001,5,2048,0.5658442443048513,SGD,10
785,50,selu,0.1,2,2048,0.5656739574661318,Adam,10
771,100,selu,0.001,5,2048,0.5655604329069855,Adam,10
519,100,selu,0.1,5,1024,0.5651441761901158,Adam,10
633,100,sigmoid,0.001,2,2048,0.5651252554302582,SGD,10
102,100,sigmoid,0.01,2,512,0.5642170589570877,SGD,10
763,200,selu,0.5,5,2048,0.5599409672292439,SGD,10
634,200,sigmoid,0.001,2,2048,0.5591084537955044,SGD,10
773,50,selu,0.001,9,2048,0.5587111178384924,Adam,10
559,200,relu,0.01,9,2048,0.5567244380534322,SGD,10
288,100,relu,0.01,9,1024,0.5556270339816848,SGD,10
277,200,relu,0.001,5,1024,0.5546431544690834,SGD,10
100,200,sigmoid,0.001,9,512,0.5522402179671535,SGD,10
9,100,relu,0.001,9,512,0.5501778551426626,SGD,10
675,100,sigmoid,0.5,9,2048,0.5493264209490653,SGD,10
93,100,sigmoid,0.001,2,512,0.5482857791568909,SGD,10
379,200,sigmoid,0.01,9,1024,0.5473586619238628,SGD,10
289,200,relu,0.01,9,1024,0.5460152879739649,SGD,10
403,200,sigmoid,0.5,5,1024,0.5448611216226444,SGD,10
644,50,sigmoid,0.01,5,2048,0.5435934307121775,SGD,10
98,50,sigmoid,0.001,9,512,0.5427609172784379,SGD,10
507,100,selu,0.01,2,1024,0.542023007643987,Adam,10
549,100,relu,0.001,9,2048,0.5415499886475441,SGD,10
378,100,sigmoid,0.01,9,1024,0.5413418602891091,SGD,10
772,200,selu,0.001,5,2048,0.5410580488912435,Adam,10
518,50,selu,0.1,5,1024,0.5408688412926663,Adam,10
531,100,selu,0.2,9,1024,0.539960644819496,Adam,10
249,100,selu,0.1,5,512,0.5387686369484599,Adam,10
362,50,sigmoid,0.001,2,1024,0.537425262998562,SGD,10
279,100,relu,0.001,9,1024,0.5365549080451071,SGD,10
258,100,selu,0.2,5,512,0.5356656323317944,Adam,10
248,50,selu,0.1,5,512,0.5356467115719368,Adam,10
19,200,relu,0.01,9,512,0.535230454855067,SGD,10
114,100,sigmoid,0.1,5,512,0.5347952773783395,SGD,10
278,50,relu,0.001,9,1024,0.5344736244607583,SGD,10
803,50,selu,0.5,2,2048,0.532770756073564,Adam,10
665,50,sigmoid,0.2,9,2048,0.5322220540376902,SGD,10
800,50,selu,0.2,9,2048,0.5304435026110648,Adam,10
7,200,relu,0.001,5,512,0.5287973965034435,SGD,10
374,50,sigmoid,0.01,5,1024,0.5287595549837282,SGD,10
367,200,sigmoid,0.001,5,1024,0.5279081207901309,SGD,10
97,200,sigmoid,0.001,5,512,0.5264701430409445,SGD,10
402,100,sigmoid,0.5,5,1024,0.5263944600015138,SGD,10
247,200,selu,0.1,2,512,0.5262998562022251,Adam,10
747,100,selu,0.1,9,2048,0.5253538182093394,SGD,10
536,50,selu,0.5,5,1024,0.5248051161734655,Adam,10
104,50,sigmoid,0.01,5,512,0.5247672746537501,SGD,10
143,50,sigmoid,0.001,9,512,0.5247483538938923,Adam,10
794,50,selu,0.2,2,2048,0.5237077121017181,Adam,10
145,200,sigmoid,0.001,9,512,0.5236320290622871,Adam,10
548,50,relu,0.001,9,2048,0.5233860591841368,SGD,10
280,200,relu,0.001,9,1024,0.5233482176644214,SGD,10
775,200,selu,0.001,9,2048,0.5224967834708242,Adam,10
530,50,selu,0.2,9,1024,0.5216453492772269,Adam,10
